Date,Effective Spread (in percent)
2015-11-27,0.16225692

2015-11-30,0.04362476

2015-12-01,0.02077311

2015-12-02,0.02581461

2015-12-03,0.03363823

2015-12-04,0.02253026

2015-12-07,0.02219664

2015-12-08,0.04574529

2015-12-09,0.02193279

2015-12-10,0.03896935

2015-12-11,0.02265242

2015-12-14,0.03771361

2015-12-15,0.05422503

2015-12-16,0.02524925

2015-12-17,0.03845429

2015-12-18,0.03398988

2015-12-21,0.02588686

2015-12-22,0.02534907

2015-12-23,0.02337358

2015-12-24,0.04253675

2015-12-28,0.02252451

2015-12-29,0.02379649

2015-12-30,0.02342272

2015-12-31,0.02318339
